"account","amount","date","description","type"
"9152783315",-18.22,1447918695189,"Primark","CAW"
"9152783315",-69.86,1447938189344,"Payment received thank you","CCD"
"4904586269960133",69.86,1447942226330,"Payment received thank you","CCD"
"4904586269960133",-10.99,1447874511608,"Cancer Research","CCW"
"9152783315",-125.12,1447861194757,"Payment received thank you","CCD"
"4590289553154174",125.12,1447862101073,"Payment received thank you","CCD"
"58876425",-0.76,1447919181692,"Transfer from Current Account to Savings","SAW"
"9152783315",0.76,1447893801312,"Transfer from Current Account to Savings","SAW"
"58876425",-16.71,1447884892040,"Transfer from Current Account to Savings","SAW"
"9152783315",16.71,1447881041391,"Transfer from Current Account to Savings","SAW"
"9152783315",-5.91,1447983215750,"Arriva Wales","CAW"
"9152783315",0.3,1447999972282,"Nicole Bailey","CAD"
"4590289553154174",-4.61,1447977850903,"Oxfam","CCW"
"4590289553154174",-15.77,1447952905589,"Supercuts","CCW"
"82620766",-0.77,1447975243407,"Transfer from Current Account to Savings","SAW"
"9152783315",0.77,1447964411086,"Transfer from Current Account to Savings","SAW"
"9152783315",-6.58,1448107831631,"Barclaycard","CAW"
"9152783315",-1.09,1448107282966,"National Express","CAW"
"4904586269960133",-2.76,1448093270527,"Cancer Research","CCW"
"4904586269960133",-34.84,1448055936972,"Primark","CCW"
"4590289553154174",-5.26,1448080064465,"Oxfam","CCW"
"58876425",-46.09,1448116897540,"Transfer from Current Account to Savings","SAW"
"9152783315",46.09,1448088554032,"Transfer from Current Account to Savings","SAW"
"9152783315",-12.92,1448149841761,"Wonga","CAW"
"9152783315",-2.71,1448132872279,"Cancer Research","CAW"
"9152783315",-9.87,1448190732288,"Primark","CAW"
"9152783315",-159.74,1448153230962,"Payment received thank you","CCD"
"4904586269960133",159.74,1448128762917,"Payment received thank you","CCD"
"4590289553154174",-3.02,1448202345723,"Oxfam","CCW"
"4590289553154174",-4.29,1448252688666,"Primark","CCW"
"4590289553154174",-17.35,1448233772048,"Bodyshop","CCW"
"4590289553154174",-11.48,1448278298611,"Wonga","CCW"
"4590289553154174",-7.6,1448272611908,"Bodyshop","CCW"
"4590289553154174",-2.66,1448244385512,"Arriva Wales","CCW"
"4590289553154174",-9.71,1448291651712,"Cancer Research","CCW"
"58876425",-6.68,1448223041785,"Transfer from Current Account to Savings","SAW"
"9152783315",6.68,1448224709324,"Transfer from Current Account to Savings","SAW"
"9152783315",0.55,1448351190376,"Lori Alexander","CAD"
"9152783315",-6.94,1448347379073,"National Express","CAW"
"9152783315",0.1,1448357193913,"Interest","CAD"
"4904586269960133",-4.3,1448321836233,"RSPCA","CCW"
"4904586269960133",-22.91,1448338324973,"M5 GoKarting","CCW"
"4590289553154174",-17.6,1448359086891,"Superdrug","CCW"
"4590289553154174",-13.38,1448305486298,"American Express","CCW"
"4590289553154174",-31.29,1448308633100,"Paintball UK","CCW"
"9152783315",-3.28,1448392350611,"Arriva Wales","CAW"
"9152783315",2000,1448529347539,"Salary BACS Payment","BAC"
"9152783315",-39.39,1448517461208,"Virgin Media","D/D"
"9152783315",-32.88,1448545547551,"Pizza Express","CAW"
"9152783315",-13.71,1448487058767,"Matalan","CAW"
"9152783315",-0.92,1448476590287,"WWF","CAW"
"4904586269960133",-2.31,1448496933626,"Save the Children","CCW"
"4904586269960133",-2.97,1448530954756,"National Express","CCW"
"4590289553154174",-37.18,1448543092490,"M5 GoKarting","CCW"
"9152783315",-62.71,1448487243876,"Payment received thank you","CCD"
"4590289553154174",62.71,1448514097138,"Payment received thank you","CCD"
"4590289553154174",-3.01,1448533542139,"Cancer Research","CCW"
"82620766",-7.7,1448474403430,"Transfer from Current Account to Savings","SAW"
"9152783315",7.7,1448471746741,"Transfer from Current Account to Savings","SAW"
"9152783315",-3.64,1448593613793,"WWF","CAW"
"9152783315",-9.42,1448607644013,"American Express","CAW"
"9152783315",-7.07,1448560103818,"Sports Direct","CAW"
"4590289553154174",-7.31,1448577459805,"National Express","CCW"
"4590289553154174",-5.7,1448577568440,"Superdrug","CCW"
"4590289553154174",-17.53,1448586884620,"Matalan","CCW"
"58876425",-2.54,1448605037646,"Transfer from Current Account to Savings","SAW"
"9152783315",2.54,1448590601782,"Transfer from Current Account to Savings","SAW"
"82620766",-10.31,1448597844438,"Transfer from Current Account to Savings","SAW"
"9152783315",10.31,1448613303511,"Transfer from Current Account to Savings","SAW"
"9152783315",-48.45,1448709416360,"NBS Personal Loan","D/D"
"9152783315",0.46,1448670860847,"Interest","CAD"
"4904586269960133",-8.72,1448644288222,"MegaBus","CCW"
"4904586269960133",-21,1448701307982,"Primark","CCW"
"4904586269960133",-36.72,1448642365659,"Morrisons","CCW"
"4904586269960133",-12.39,1448693439580,"Bodyshop","CCW"
"4904586269960133",-38.96,1448700948240,"TicketMaster","CCW"
"4904586269960133",-0.01,1448721721586,"Matalan","CCW"
"4590289553154174",-30.91,1448656263004,"Matalan","CCW"
"4590289553154174",-0.01,1448661156866,"Bodyshop","CCW"
"82620766",-6.2,1448708769060,"Transfer from Current Account to Savings","SAW"
"9152783315",6.2,1448678855751,"Transfer from Current Account to Savings","SAW"
"9152783315",-22.11,1448755626674,"Primark","CAW"
"9152783315",-10.43,1448786264304,"American Express","CAW"
"9152783315",-263.81,1448731844140,"Payment received thank you","CCD"
"4590289553154174",263.81,1448786943544,"Payment received thank you","CCD"
"4590289553154174",-23.42,1448744718887,"TicketMaster","CCW"
"4590289553154174",-4.42,1448770230013,"Save the Children","CCW"
"4590289553154174",-34.35,1448758280168,"Morrisons","CCW"
"9152783315",-125.72,1448725702324,"Payment received thank you","CCD"
"4590289553154174",125.72,1448809079516,"Payment received thank you","CCD"
"4590289553154174",-0.01,1448781017547,"Cancer Research","CCW"
"4590289553154174",-16.92,1448870334647,"Cancer Research","CCW"
"4590289553154174",-21.61,1448850785768,"Matalan","CCW"
"4590289553154174",-5.51,1448896434154,"Arriva Wales","CCW"
"9152783315",-5.42,1448902942011,"National Express","CAW"
"9152783315",-11.47,1448906831910,"Payment received thank you","CCD"
"4904586269960133",11.47,1448932771322,"Payment received thank you","CCD"
"4590289553154174",-4.14,1448944697620,"National Express","CCW"
"9152783315",-18.18,1449036984262,"Pizza Express","CAW"
"4590289553154174",-12.22,1449005861200,"WWF","CCW"
"4904586269960133",-5.43,1449075625195,"Oxfam","CCW"
"4904586269960133",-5.13,1449081854920,"Arriva Wales","CCW"
"9152783315",-110.15,1449089925727,"Payment received thank you","CCD"
"4590289553154174",110.15,1449111120823,"Payment received thank you","CCD"
"4590289553154174",-11.52,1449127846876,"Cancer Research","CCW"
"4590289553154174",-1.15,1449075897613,"Cancer Research","CCW"
"82620766",-19.8,1449124049667,"Transfer from Current Account to Savings","SAW"
"9152783315",19.8,1449151342246,"Transfer from Current Account to Savings","SAW"
"9152783315",-44.62,1449179446209,"TV Licence","D/D"
"9152783315",-11.74,1449170653162,"Save the Children","CAW"
"4904586269960133",-19.57,1449185063684,"Matalan","CCW"
"4904586269960133",-4.11,1449186315609,"Cancer Research","CCW"
"9152783315",-76.63,1449242792364,"Payment received thank you","CCD"
"4904586269960133",76.63,1449236211260,"Payment received thank you","CCD"
"4590289553154174",-4.14,1449158558283,"Superdrug","CCW"
"4590289553154174",-2.61,1449183367189,"American Express","CCW"
"4590289553154174",-8.49,1449237797976,"MegaBus","CCW"
"82620766",-17.34,1449193814979,"Transfer from Current Account to Savings","SAW"
"9152783315",17.34,1449170704011,"Transfer from Current Account to Savings","SAW"
"9152783315",-8.98,1449271656519,"Primark","CAW"
"4904586269960133",-4.47,1449288787457,"Hitachi Personal Finance","CCW"
"4904586269960133",-3.45,1449301654694,"Wonga","CCW"
"4904586269960133",-11,1449272092733,"Supercuts","CCW"
"4590289553154174",-29.07,1449306504863,"Sainsburys","CCW"
"58876425",-1.55,1449304728458,"Transfer from Current Account to Savings","SAW"
"9152783315",1.55,1449297285409,"Transfer from Current Account to Savings","SAW"
"9152783315",-14.53,1449342810596,"Primark","CAW"
"4590289553154174",-0.01,1449409013648,"RSPCA","CCW"
"4590289553154174",-0.01,1449410268004,"Arriva Wales","CCW"
"82620766",-20.93,1449379215342,"Transfer from Current Account to Savings","SAW"
"9152783315",20.93,1449355059122,"Transfer from Current Account to Savings","SAW"
"9152783315",-7.18,1449442447216,"American Express","CAW"
"9152783315",-7.37,1449452066552,"Matalan","CAW"
"9152783315",-27.01,1449489312133,"Sainsburys","CAW"
"9152783315",-44.4,1449425124595,"TicketMaster","CAW"
"9152783315",-12.9,1449419838918,"Supercuts","CAW"
"9152783315",-11.83,1449488764996,"National Express","CAW"
"9152783315",-2.49,1449489144828,"Supercuts","CAW"
"4904586269960133",-2.36,1449496477217,"Oxfam","CCW"
"9152783315",-9.01,1449559076032,"Wonga","CAW"
"9152783315",-12.01,1449528224784,"Wonga","CAW"
"9152783315",-10.39,1449518626563,"Hitachi Personal Finance","CAW"
"4904586269960133",-0.01,1449545335777,"Primark","CCW"
"4904586269960133",-13.68,1449539961281,"Sports Direct","CCW"
"9152783315",-104.3,1449571054796,"Payment received thank you","CCD"
"4904586269960133",104.3,1449551323521,"Payment received thank you","CCD"
"4590289553154174",-5.3,1449522553438,"Arriva Wales","CCW"
"4590289553154174",-3.08,1449547850177,"MegaBus","CCW"
"9152783315",-5.43,1449604801984,"Shelter","CAW"
"9152783315",-6.23,1449641864609,"Sports Direct","CAW"
"9152783315",-15.49,1449604658345,"Supercuts","CAW"
"9152783315",-7.32,1449625974431,"Wonga","CAW"
"4904586269960133",-9.8,1449674540869,"Save the Children","CCW"
"9152783315",-31.43,1449717797563,"Lush","CAW"
"9152783315",-2.8,1449721412912,"WWF","CAW"
"4904586269960133",-4.65,1449712479249,"Save the Children","CCW"
"4590289553154174",-6.87,1449736146932,"WWF","CCW"
"4590289553154174",-4.32,1449722920109,"Shelter","CCW"
"9152783315",-14.81,1449795383100,"Primark","CAW"
"9152783315",-14.48,1449765342367,"Save the Children","CAW"
"9152783315",-24.76,1449788695135,"Sainsburys","CAW"
"9152783315",-0.67,1449819138237,"WWF","CAW"
"9152783315",-9.14,1449823468085,"Oxfam","CAW"
"9152783315",-57.4,1449763640996,"Payment received thank you","CCD"
"4904586269960133",57.4,1449819717940,"Payment received thank you","CCD"
"4590289553154174",-7.5,1449792182000,"MegaBus","CCW"
"4590289553154174",-18.65,1449816481505,"Pizza Express","CCW"
"4590289553154174",-16.72,1449786163329,"Matalan","CCW"
"4590289553154174",-8.3,1449826465735,"Barclaycard","CCW"
"4904586269960133",-27.49,1449910742348,"Sainsburys","CCW"
"9152783315",-542.3,1449903951306,"Payment received thank you","CCD"
"4590289553154174",542.3,1449898074110,"Payment received thank you","CCD"
"4590289553154174",-17.11,1449902056839,"TicketMaster","CCW"
"4590289553154174",-15.21,1449897029020,"Primark","CCW"
"4590289553154174",-30.73,1449906485793,"Paintball UK","CCW"
"4590289553154174",-43.58,1449883256144,"Morrisons","CCW"
"9152783315",-50.46,1449891442845,"Payment received thank you","CCD"
"4590289553154174",50.46,1449849875723,"Payment received thank you","CCD"
"9152783315",-800,1449974628107,"Rent","D/D"
"9152783315",0.49,1449944684092,"Nicole Bailey","CAD"
"9152783315",-14.85,1450030061170,"Thames Water","D/D"
"9152783315",2.05,1450049004419,"Nicole Bailey","CAD"
"4904586269960133",-0.01,1450089231648,"National Express","CCW"
"4590289553154174",-27.56,1450075894344,"Morrisons","CCW"
"9152783315",-22.91,1450187088671,"Sky Digital","D/D"
"4590289553154174",-25.59,1450148199013,"Pizza Express","CCW"
"4590289553154174",-0.01,1450176823305,"National Express","CCW"
